Name,Mate,Degree,Description,Continuity,Combo,Type
Woozy,Poseidon’s Wrath,Minor,"Nonlethal. You can’t make Pushes. 
Discard when you leave the boat.",,,Injury
Poseidon’s Wrath,Woozy,Major,"Non-lethal. You can’t make Pushes. -2 to all tests (except Preparedness.) 
Discard when you leave the boat.",,,Injury
Tipsy,Intoxicated,Minor,"Nonlethal. -1 to tests. On a failed test, make a bad, drunk decision.
Discard after two hours world time, or after a test to avoid Injury.",,,Injury
Intoxicated,Tipsy,Major,"-2 to tests; +2 to Tolls. On a failed test, make a bad, drunk decision.
After two hours world time, trade for “Tipsy.”",,,Injury
"Cough, Choke, Splutter",Lungful of Water,Minor,"-1 to non-Focus tests.
Discard at next interval.",,,Injury
Lungful of Water,"Cough, Choke, Splutter",Major,"-2 to tests.
As immediate recipient of Difficulty 4 First Aid success, or at end of next interval, trade for “Cough, Choke, Sputter.”",,,Injury
Stay By the Water Closet,Ructious Innards,Minor,"Nonlethal. You must remain within proximity of a water closet. -2 to tests.
After four hours of world time, you may make a Difficulty 4 Health test at the beginning of any interval, discarding this card on a success.",,,Injury
Ructious Innards,Stay By the Water Closet,Major,"Nonlethal. You must remain within proximity of a water closet. You can’t make tests.
After six hours of world time, you may make a Difficulty 4 Health test at the beginning of any interval, discarding this card on a success, and losing 3 Health on a failure.",,,Injury
Abrasion,Concussed,Minor,"Nonlethal. Roll a die before making an Interpersonal Push. On a 2 or less, you can’t make the Push. 
Discard on a Physical test.",,,Injury
Concussed,Abrasion,Major,"You can’t make Pushes. 
Discard after 48 hours of world time. ",,,Injury
Hard Landing,Turned Ankle,Minor,Your next Physical test takes a penalty of 1; then discard.,,,Injury
Turned Ankle,Hard Landing,Major,"-2 to Physical tests. 
Trade for “Hard Landing” on a Physical failure.",,,Injury
Something In Your Eye,Puncture Wound,Minor,"-3 to Sense Trouble tests, -1 to Physical and Focus tests.
Discard on a Sense Trouble, Physical or Focus failure.",,,Injury
Puncture Wound,Something In Your Eye,Major,"-2 to tests (except Preparedness.) 
Discard as recipient of successful Difficulty 4 First Aid success, or at the end of any interval by spending 2 Health.",,,Injury
Singed,Burned,Minor,"To make an Interpersonal Push you must also spend a Composure point. 
At any time after the next interval, you may spend 1 Health to discard.",,,Injury
Burned,Singed,Major,"-2 to tests (except Preparedness.) 
Trade for “Badly Hurt” after you fail a test and then receive a Difficulty 5 First Aid success. ",,,Injury
