name,type,category,canBeInvestigative
Accounting,InvestigativeAbility,academic,
Architecture,InvestigativeAbility,academic,
Art History,InvestigativeAbility,academic,
Bullshit Detector,InvestigativeAbility,interpersonal,
Bureaucracy,InvestigativeAbility,interpersonal,
Cop Talk,InvestigativeAbility,interpersonal,
Counterinsurgency,InvestigativeAbility,academic,
Flattery,InvestigativeAbility,interpersonal,
Forensic Anthropology,InvestigativeAbility,technical,
History,InvestigativeAbility,academic,
Inspiration,InvestigativeAbility,interpersonal,
Intimidation,InvestigativeAbility,interpersonal,
Intuition,InvestigativeAbility,technical,
Leadership,InvestigativeAbility,interpersonal,
Medicine,InvestigativeAbility,technical,
Negotiation,InvestigativeAbility,interpersonal,
Occultism,InvestigativeAbility,academic,
People Person,InvestigativeAbility,interpersonal,
Photography,InvestigativeAbility,technical,
Psychology,InvestigativeAbility,academic,
Reassurance,InvestigativeAbility,interpersonal,
Research,InvestigativeAbility,academic,
Science,InvestigativeAbility,academic,
Streetwise,InvestigativeAbility,interpersonal,
Trivia,InvestigativeAbility,academic,
Athletics,GeneralAbility,physical,
Composure,GeneralAbility,presence,
Driving,GeneralAbility,physical,
Fighting,GeneralAbility,physical,
First Aid,GeneralAbility,focus,
Health,GeneralAbility,physical,
Insurgency,GeneralAbility,focus,
Mechanics,GeneralAbility,focus,
Morale,GeneralAbility,presence,
Network,GeneralAbility,focus,
Politics,GeneralAbility,presence,
Preparedness,GeneralAbility,presence,
Sense Trouble,GeneralAbility,presence,
Sneaking,GeneralAbility,focus,
