name,type,category,canBeInvestigative
Architecture,InvestigativeAbility,academic,
Art History,InvestigativeAbility,academic,
Assess Honesty,InvestigativeAbility,interpersonal,
Belle-Lettres,InvestigativeAbility,academic,
Bonhomie,InvestigativeAbility,interpersonal,
Culture,InvestigativeAbility,academic,
Demimonde,InvestigativeAbility,interpersonal,
Fashion,InvestigativeAbility,academic,
History,InvestigativeAbility,academic,
Inspiration,InvestigativeAbility,interpersonal,
Intuition,InvestigativeAbility,academic,
Military History,InvestigativeAbility,academic,
Miscellany,InvestigativeAbility,academic,
Natural History,InvestigativeAbility,academic,
Negotiation,InvestigativeAbility,interpersonal,
Occultism,InvestigativeAbility,academic,
Officialdom,InvestigativeAbility,interpersonal,
Painting,InvestigativeAbility,technical,
Photography,InvestigativeAbility,technical,
Poetry,InvestigativeAbility,academic,
Reassurance,InvestigativeAbility,interpersonal,
Research,InvestigativeAbility,academic,
Sculpture,InvestigativeAbility,technical,
Society,InvestigativeAbility,interpersonal,
Steel,InvestigativeAbility,interpersonal,
Technology,InvestigativeAbility,technical,
Athletics,GeneralAbility,physical,
Composure,GeneralAbility,presence,
First Aid,GeneralAbility,focus,
Health,GeneralAbility,physical,
Mechanics,GeneralAbility,focus,
Riding,GeneralAbility,physical,
Sense Trouble,GeneralAbility,presence,
Sneaking,GeneralAbility,focus,
Preparedness,GeneralAbility,presence,
