name,type,category,canBeInvestigative
Accounting,InvestigativeAbility,academic,
Assess Honesty,InvestigativeAbility,interpersonal,
Blueblood,InvestigativeAbility,interpersonal,
Chemistry,InvestigativeAbility,technical,
Farming,InvestigativeAbility,technical,
Hunting,InvestigativeAbility,technical,
Inspiration,InvestigativeAbility,interpersonal,
Interrogation,InvestigativeAbility,interpersonal,
Intimidation,InvestigativeAbility,interpersonal,
Intuition,InvestigativeAbility,interpersonal,
Law,InvestigativeAbility,academic,
Leadership,InvestigativeAbility,interpersonal,
Lowlife,InvestigativeAbility,interpersonal,
Medicine,InvestigativeAbility,technical,
Military Logistics,InvestigativeAbility,academic,
Military Science,InvestigativeAbility,academic,
Negotiation,InvestigativeAbility,interpersonal,
Occultism,InvestigativeAbility,academic,
Photography,InvestigativeAbility,technical,
Political Science,InvestigativeAbility,academic,
Reassurance,InvestigativeAbility,interpersonal,
Salt of the Earth,InvestigativeAbility,interpersonal,
Science,InvestigativeAbility,academic,
Terrain,InvestigativeAbility,technical,
Artillery,GeneralAbility,physical,
Athletics,GeneralAbility,physical,
Battlefield,GeneralAbility,physical,
Composure,GeneralAbility,presence,
Driving,GeneralAbility,physical,
Fighting,GeneralAbility,physical,
First Aid,GeneralAbility,focus,
Health,GeneralAbility,physical,
Mechanics,GeneralAbility,focus,
Morale,GeneralAbility,presence,
Preparedness,GeneralAbility,presence,
Riding,GeneralAbility,physical,
Scrounging,GeneralAbility,presence,
Sense Trouble,GeneralAbility,presence,
Sneaking,GeneralAbility,focus,
Traps and Bombs,GeneralAbility,focus,
